timestamp,open,high,low,close
2024-08-21 20:30:03,1.4331,1.4337,1.4328,1.4337
2024-08-21 20:35:03,1.4338,1.4379,1.4338,1.4361
2024-08-21 20:40:05,1.4368,1.4376,1.4332,1.434
2024-08-21 20:45:00,1.4315,1.4315,1.4292,1.4304
2024-08-21 20:50:02,1.4301,1.432,1.4283,1.4319
2024-08-21 20:55:02,1.4321,1.4323,1.4287,1.4305
2024-08-21 21:00:03,1.4296,1.4334,1.429,1.4333
2024-08-21 21:05:04,1.4332,1.435,1.4329,1.4331
2024-08-21 21:10:04,1.4327,1.4335,1.4311,1.4311
2024-08-21 21:15:00,1.4312,1.4346,1.4312,1.4345
2024-08-21 21:20:00,1.4344,1.435,1.4339,1.4346
2024-08-21 21:25:01,1.4396,1.4436,1.4394,1.4405
2024-08-21 21:30:03,1.4394,1.4403,1.4379,1.4401
2024-08-21 21:35:02,1.4427,1.4442,1.4424,1.4441
2024-08-21 21:40:00,1.4433,1.4437,1.4402,1.4402
2024-08-21 21:45:00,1.4407,1.441,1.4393,1.4393
2024-08-21 21:50:00,1.4422,1.4435,1.441,1.4416
2024-08-21 21:55:02,1.4413,1.4418,1.4413,1.4417
2024-08-21 22:00:03,1.4412,1.4433,1.4391,1.4424
2024-08-21 22:05:04,1.4443,1.4448,1.4435,1.4448
2024-08-21 22:10:00,1.446,1.4466,1.4446,1.4465
2024-08-21 22:15:00,1.4451,1.4466,1.4431,1.4465
2024-08-21 22:20:00,1.4453,1.4486,1.443,1.4482
2024-08-21 22:25:03,1.4482,1.4487,1.4458,1.4486
2024-08-21 22:30:03,1.4477,1.4493,1.4468,1.4468
2024-08-21 22:35:04,1.448,1.4494,1.4474,1.4486
2024-08-21 22:40:00,1.4496,1.4496,1.4436,1.4438
2024-08-21 22:45:00,1.4464,1.4466,1.4441,1.4452
2024-08-21 22:50:00,1.446,1.448,1.4435,1.4455
2024-08-21 22:55:00,1.4439,1.4471,1.4434,1.4459
2024-08-21 23:00:00,1.4471,1.4471,1.446,1.4467
2024-08-21 23:05:01,1.4473,1.4473,1.4443,1.4463
2024-08-21 23:10:03,1.4454,1.4483,1.4454,1.4478
2024-08-21 23:15:02,1.4477,1.4485,1.4467,1.4485
2024-08-21 23:20:00,1.4491,1.4507,1.4485,1.4493
2024-08-21 23:25:04,1.4481,1.4483,1.4446,1.4446
2024-08-21 23:30:05,1.4443,1.4462,1.4443,1.4453
2024-08-21 23:35:00,1.4439,1.4442,1.4409,1.4417
2024-08-21 23:40:01,1.4418,1.4419,1.4402,1.4403
2024-08-21 23:45:01,1.4409,1.4443,1.44,1.4443
2024-08-21 23:50:01,1.4429,1.4439,1.4421,1.4439
2024-08-21 23:55:03,1.4436,1.4455,1.4427,1.4452
2024-08-22 00:00:03,1.4457,1.4484,1.4451,1.4484
2024-08-22 00:05:00,1.4549,1.4549,1.4524,1.4547
2024-08-22 00:10:00,1.4565,1.4586,1.4554,1.4572
2024-08-22 00:15:01,1.455,1.455,1.4518,1.4528
2024-08-22 00:20:02,1.4549,1.4555,1.4521,1.4547
2024-08-22 00:25:02,1.4535,1.4552,1.4535,1.4538
