timestamp,open,high,low,close,volume,isSwing,pointpos
2024-05-07 11:36:00,64189.7,64269.7,64184.5,64244.1,5.697,0,
2024-05-07 11:37:00,64244.1,64317.9,64244.1,64314.7,2.638,0,
2024-05-07 11:38:00,64314.7,64408.0,64278.3,64404.3,13.812,0,
2024-05-07 11:39:00,64404.3,64408.1,64309.5,64312.2,690.816,0,
2024-05-07 11:40:00,64312.2,64312.2,64201.9,64238.0,570.577,0,
2024-05-07 11:41:00,64238.0,64240.2,64169.4,64182.5,8.12,0,
2024-05-07 11:43:00,64216.4,64233.7,64190.1,64233.7,1127.807,0,
2024-05-07 11:44:00,64233.7,64234.1,64136.2,64149.3,4.505,0,
2024-05-07 11:45:00,64149.3,64149.4,64110.1,64137.4,11.385,0,
2024-05-07 11:46:00,64137.4,64212.9,64136.6,64207.5,5.524,0,
2024-05-07 11:47:00,64207.5,64233.4,64198.7,64223.4,4.213,0,
2024-05-07 11:48:00,64223.4,64227.5,64190.0,64205.3,1.053,0,
2024-05-07 11:49:00,64205.3,64294.0,64205.3,64263.9,3.363,0,
2024-05-07 11:50:00,64263.9,64277.2,64239.8,64271.4,2.773,0,
2024-05-07 11:51:00,64271.4,64313.6,64266.8,64300.4,6.814,0,
2024-05-07 11:52:00,64300.4,64323.8,64275.0,64282.4,2.587,1,64323.8
2024-05-07 11:53:00,64282.4,64316.2,64282.3,64316.2,6.472,0,
2024-05-07 11:54:00,64316.2,64316.2,64261.6,64270.1,0.331,0,
2024-05-07 11:55:00,64270.1,64294.3,64270.0,64276.7,1.033,0,
2024-05-07 11:56:00,64276.7,64282.5,64226.6,64231.2,1.045,0,
2024-05-07 11:57:00,64231.2,64309.0,64223.9,64308.5,3.573,0,
2024-05-07 11:58:00,64308.5,64308.7,64279.8,64285.2,4.027,0,
2024-05-07 11:59:00,64285.2,64290.3,64228.9,64234.4,0.312,0,
2024-05-07 12:00:00,64234.4,64234.4,64209.3,64230.7,4.132,0,
2024-05-07 12:01:00,64230.7,64236.0,64195.9,64214.6,9.447,0,
2024-05-07 12:02:00,64214.6,64225.0,64192.6,64222.6,2.878,2,64192.6
2024-05-07 12:03:00,64222.6,64231.8,64219.4,64231.8,3.488,0,
2024-05-07 12:04:00,64231.8,64286.0,64225.4,64280.2,42.681,0,
2024-05-07 12:05:00,64280.2,64286.0,64225.6,64234.0,1.033,0,
2024-05-07 12:06:00,64234.0,64258.0,64224.0,64250.4,2.666,0,
2024-05-07 12:07:00,64250.4,64290.2,64250.4,64290.2,1.969,0,
2024-05-07 12:08:00,64290.2,64292.5,64279.1,64289.2,8.144,0,
2024-05-07 12:09:00,64289.2,64292.1,64239.9,64256.6,3.042,0,
2024-05-07 12:10:00,64256.6,64295.8,64256.5,64280.4,3.435,0,
2024-05-07 12:11:00,64280.4,64292.4,64268.0,64290.7,1.24,0,
2024-05-07 12:12:00,64290.7,64291.5,64219.1,64219.9,2.022,0,
2024-05-07 12:13:00,64219.9,64267.2,64219.7,64267.2,2.935,0,
2024-05-07 12:14:00,64267.2,64267.2,64226.0,64236.4,4.293,0,
2024-05-07 12:15:00,64236.4,64255.7,64235.5,64255.7,1.882,0,
2024-05-07 12:16:00,64255.7,64297.9,64252.9,64280.9,3.036,0,
2024-05-07 12:17:00,64280.9,64289.4,64244.7,64260.1,1.399,0,
2024-05-07 12:18:00,64260.1,64283.1,64244.5,64276.6,4.136,0,
2024-05-07 12:19:00,64276.6,64333.3,64276.6,64333.3,3.001,0,
2024-05-07 12:20:00,64333.3,64351.8,64309.3,64325.4,2.418,0,
2024-05-07 12:21:00,64325.4,64360.0,64324.3,64360.0,3.728,1,64360.0
2024-05-07 12:22:00,64360.0,64360.0,64327.2,64330.0,1.034,1,64360.0
2024-05-07 12:23:00,64330.0,64335.9,64298.0,64328.8,3.494,0,
2024-05-07 12:24:00,64328.8,64345.1,64314.2,64323.0,0.556,0,
2024-05-07 12:25:00,64323.0,64330.3,64317.3,64324.3,4.123,0,
2024-05-07 12:26:00,64324.3,64345.7,64296.8,64345.7,2.12,0,
2024-05-07 12:27:00,64345.7,64345.7,64276.9,64284.9,1.397,0,
2024-05-07 12:28:00,64284.9,64285.1,64258.0,64267.0,1.096,0,
2024-05-07 12:29:00,64267.0,64284.8,64258.0,64281.4,1.034,0,
2024-05-07 12:30:00,64281.4,64296.8,64270.7,64296.8,0.261,0,
2024-05-07 12:31:00,64296.8,64299.0,64250.0,64251.3,2.682,0,
2024-05-07 12:32:00,64251.3,64251.3,64198.0,64227.5,7.421,0,
2024-05-07 12:33:00,64227.5,64255.0,64174.9,64174.9,4.176,0,
2024-05-07 12:34:00,64174.9,64223.2,64162.2,64220.4,4.812,2,64162.2
2024-05-07 12:35:00,64220.4,64220.4,64190.1,64191.9,2.053,0,
2024-05-07 12:36:00,64191.9,64218.5,64191.8,64218.5,3.578,0,
2024-05-07 12:37:00,64218.5,64264.3,64201.1,64213.5,4.66,0,
2024-05-07 12:38:00,64213.5,64213.5,64180.5,64197.3,2.728,0,
2024-05-07 12:39:00,64197.3,64197.3,64165.1,64167.1,1.198,0,
2024-05-07 12:40:00,64167.1,64200.0,64167.1,64200.0,1.798,0,
2024-05-07 12:41:00,64200.0,64214.8,64197.0,64209.1,1.813,0,
2024-05-07 12:42:00,64209.1,64224.1,64180.0,64224.1,110.595,0,
2024-05-07 12:43:00,64224.1,64231.3,64190.3,64190.3,1.219,0,
2024-05-07 12:44:00,64190.3,64200.1,64185.2,64186.9,1.021,0,
2024-05-07 12:45:00,64186.9,64211.0,64185.0,64194.9,1.296,0,
2024-05-07 12:46:00,64194.9,64238.2,64194.9,64238.2,38.247,0,
2024-05-07 12:47:00,64238.2,64264.2,64214.0,64214.0,1.331,0,
2024-05-07 12:48:00,64214.0,64228.9,64210.6,64228.9,1.81,0,
2024-05-07 12:49:00,64228.9,64230.1,64201.8,64217.2,0.658,0,
2024-05-07 12:50:00,64217.2,64230.1,64181.4,64194.0,3.416,0,
2024-05-07 12:51:00,64194.0,64226.6,64183.3,64218.6,0.326,0,
2024-05-07 12:52:00,64218.6,64220.5,64186.6,64199.6,3.594,0,
2024-05-07 12:53:00,64199.6,64202.4,64180.6,64180.6,1.099,0,
2024-05-07 12:54:00,64180.6,64184.6,64143.1,64148.5,5.418,0,
2024-05-07 12:55:00,64148.5,64148.5,64082.9,64082.9,2.474,0,
2024-05-07 12:56:00,64082.9,64129.3,64082.4,64125.4,5.174,0,
2024-05-07 12:57:00,64125.4,64125.4,64095.1,64095.1,2.707,0,
2024-05-07 12:58:00,64095.1,64117.7,64073.6,64117.7,2.895,2,64073.6
2024-05-07 12:59:00,64117.7,64122.1,64098.6,64109.2,1.183,0,
2024-05-07 13:00:00,64109.2,64125.9,64109.2,64124.0,0.399,0,
2024-05-07 13:01:00,64124.0,64127.5,64103.4,64115.1,2.725,0,
2024-05-07 13:02:00,64115.1,64148.0,64099.5,64131.0,2.923,0,
2024-05-07 13:03:00,64131.0,64165.7,64120.4,64158.6,3.057,0,
2024-05-07 13:04:00,64158.6,64165.7,64140.7,64142.3,0.706,0,
2024-05-07 13:05:00,64142.3,64171.5,64132.2,64166.0,1.364,0,
